Time	Conc
2214.083	0.00343
2214.125	0.00297
2214.167	0.00216
2214.208	0.00164
2214.25	0.00155
2214.292	0.00162
2214.333	0.00174
2214.375	0.00186
2214.417	0.00198
2214.458	0.00208
2214.5	0.00217
2214.542	0.00225
2214.583	0.00232
2214.625	0.00238
2214.667	0.00244
2214.708	0.00249
2214.75	0.00254
2214.792	0.00259
2214.833	0.00263
2214.875	0.00267
2214.917	0.00271
2214.958	0.00274
2215	0.00278
2215.042	0.00281
2215.083	0.00284
2215.125	0.00286
2215.167	0.00289
2215.208	0.00291
2215.25	0.00294
2215.292	0.00296
2215.333	0.00298
2215.375	0.003
2215.417	0.00302
2215.458	0.00304
2215.5	0.00306
2215.542	0.00308
2215.583	0.0031
2215.625	0.00311
2215.667	0.00313
2215.708	0.00315
2215.75	0.00316
2215.792	0.00318
2215.833	0.00319
2215.875	0.00321
2215.917	0.00322
2215.958	0.00323
2216	0.00325
2216.042	0.00326
2216.083	0.00327
2216.125	0.00328
2216.167	0.0033
2216.208	0.00331
2216.25	0.00332
2216.292	0.00333
2216.333	0.00334
2216.375	0.00335
2216.417	0.00336
2216.458	0.00338
2216.5	0.00339
2216.542	0.0034
2216.583	0.00341
2216.625	0.00342
2216.667	0.00343
2216.708	0.00344
2216.75	0.00345
2216.792	0.00346
2216.833	0.00347
2216.875	0.00348
2216.917	0.00349
2216.958	0.0035
2217	0.0035
2217.042	0.00351
2217.083	0.00352
2217.125	0.00353
2217.167	0.00354
2217.208	0.00355
2217.25	0.00356
2217.292	0.00357
2217.333	0.00357
2217.375	0.00358
2217.417	0.00359
2217.458	0.0036
2217.5	0.00361
2217.542	0.00361
2217.583	0.00362
2217.625	0.00363
2217.667	0.00364
2217.708	0.00365
2217.75	0.00365
2217.792	0.00366
2217.833	0.00367
2217.875	0.00368
2217.917	0.00368
2217.958	0.00369
2218	0.0037
2218.042	0.0037
2218.083	0.00371
2218.125	0.00372
2218.167	0.00372
2218.208	0.00373
